province,year,ambos_sexos,hombres,mujeres
PAÍS VASCO,2010,82420,74950,7470
PAÍS VASCO,2011,84660,75940,8720
PAÍS VASCO,2012,77020,68770,8250
PAÍS VASCO,2013,68980,61960,7020
PAÍS VASCO,2014,61590,54480,7110
PAÍS VASCO,2015,53670,47890,5780
PAÍS VASCO,2016,45630,41280,4350
PAÍS VASCO,2017,43980,39760,4220
PAÍS VASCO,2018,46590,41840,4750
PAÍS VASCO,2019,51190,45960,5230
PAÍS VASCO,2020,53920,48010,5910
PAÍS VASCO,2021,59710,53490,6220
PAÍS VASCO,2022,72470,63840,8630
PAÍS VASCO,2023,72610,63530,9080
PAÍS VASCO,2024,75560,66510,9050
