year,party_name,total_seats
1980,Gr. Nacionalistas Vascos,25.0
1980,Gr. HB,11.0
1980,Gr. Socialistas Vascos,9.0
1980,Gr. Centrista,6.0
1980,Gr.Euskadiko Ezk.,6.0
1980,Gr. Mixto,3.0
1982,Gr. Nacionalistas Vascos,50.0
1982,Gr. HB,22.0
1982,Gr. Socialistas Vascos,17.0
1982,Gr.Euskadiko Ezk.,14.0
1982,Gr. Centrista,12.0
1982,Gr. Mixto,5.0
1983,Gr. Nacionalistas Vascos,50.0
1983,Gr. HB,22.0
1983,Gr. Socialistas Vascos,16.0
1983,Gr.Euskadiko Ezk.,14.0
1983,Gr. Mixto,10.0
1983,Gr. Centrista,4.0
1983,Gr. CDS,4.0
1984,Gr. Nacionalistas Vascos,32.0
1984,Gr. Socialistas Vascos,19.0
1984,Gr. HB,11.0
1984,Gr. Popular Vasco,7.0
1984,Gr.Euskadiko Ezk.,6.0
1985,Gr. Nacionalistas Vascos,32.0
1985,Gr. Socialistas Vascos,19.0
1985,Gr. HB,11.0
1985,Gr. Popular Vasco,7.0
1985,Gr.Euskadiko Ezk.,6.0
1986,Gr. Nacionalistas Vascos,38.0
1986,Gr. Socialistas Vascos,38.0
1986,Gr. HB,24.0
1986,Gr. Mixto,15.0
1986,Gr.Euskadiko Ezk.,15.0
1986,Gr. EA,13.0
1986,Gr. Popular Vasco,7.0
1990,Gr. Nacionalistas Vascos,56.0
1990,Gr. Socialistas Vascos,53.0
1990,Gr. HB,39.0
1990,Gr. EA,35.0
1990,Gr.Euskadiko Ezk.,24.0
1990,Gr. Mixto,12.0
1990,Gr. Popular Vasco,6.0
1991,Gr. Nacionalistas Vascos,22.0
1991,Gr. Socialistas Vascos,16.0
1991,Gr. HB,13.0
1991,Gr. EA,9.0
1991,Gr. Popular Vasco,6.0
1991,Gr.Euskadiko Ezk.,5.0
1991,Gr. Mixto,4.0
1992,Gr. Nacionalistas Vascos,22.0
1992,Gr. Socialistas Vascos,16.0
1992,Gr. HB,13.0
1992,Gr. EA,9.0
1992,Gr. Popular Vasco,6.0
1992,Gr. Euskal Ezkerra,5.0
1992,Gr. Mixto,4.0
1994,Gr. Nacionalistas Vascos,22.0
1994,Gr. Socialistas Vascos,12.0
1994,Gr. HB,11.0
1994,Gr. Popular Vasco,11.0
1994,Gr. EA,8.0
1994,Gr. Mixto,6.0
1994,Gr. Foralista Alavés,5.0
1997,Gr. Nacionalistas Vascos,22.0
1997,Gr. Socialistas Vascos,12.0
1997,Gr. Popular Vasco,11.0
1997,Gr. HB,11.0
1997,Gr. EA,8.0
1997,Gr. Mixto,7.0
1997,Gr. Foralista Alavés,4.0
1998,Gr. Nacionalistas Vascos,21.0
1998,Gr. Popular Vasco,16.0
1998,Gr. E. Herritarrok,14.0
1998,Gr. Socialistas Vascos,14.0
1998,Gr. EA,6.0
1998,Gr. Mixto,4.0
2001,Gr. Nacionalistas Vascos,50.0
2001,Gr. Popular Vasco,38.0
2001,Gr. Socialistas Vascos,26.0
2001,Gr. EA,16.0
2001,Gr. E. Herritarrok,7.0
2001,Gr. HB,7.0
2001,Gr. Mixto,6.0
2002,Gr. Nacionalistas Vascos,26.0
2002,Gr. Popular Vasco,19.0
2002,Gr. Socialistas Vascos,13.0
2002,Gr. Sozialista Abertzaleak,7.0
2002,Gr. EA,7.0
2002,Gr. Mixto,3.0
2004,Gr. Nacionalistas Vascos,26.0
2004,Gr. Popular Vasco,18.0
2004,Gr. Socialistas Vascos,13.0
2004,Gr. EA,7.0
2004,Gr. Sozialista Abertzaleak,7.0
2004,Gr. Mixto,4.0
2005,Gr. Nacionalistas Vascos,21.0
2005,Gr. Socialistas Vascos,18.0
2005,Gr. Popular Vasco,15.0
2005,Gr.EuskoAbertzalea,9.0
2005,Gr. EA,8.0
2005,Gr. Mixto,4.0
2006,Gr. Nacionalistas Vascos,22.0
2006,Gr. Socialistas Vascos,18.0
2006,Gr. Popular Vasco,15.0
2006,Gr.EuskoAbertzalea,9.0
2006,Gr. EA,7.0
2006,Gr. Mixto,4.0
2009,Gr. Nacionalistas Vascos,30.0
2009,Gr. Socialistas Vascos,25.0
2009,Gr. Popular Vasco,13.0
2009,Gr. Aralar,4.0
2009,Gr. Mixto,3.0
2012,Gr. Nacionalistas Vascos,27.0
2012,Gr. EH Bildu,21.0
2012,Gr. Socialistas Vascos,16.0
2012,Gr. Popular Vasco,10.0
2012,Gr. Mixto,1.0
2016,Gr. Nacionalistas Vascos,28.0
2016,Gr. EH Bildu,18.0
2016,Gr. Elkarrekin Podemos,11.0
2016,Gr. Socialistas Vascos,9.0
2016,Gr. Popular Vasco,9.0
2020,Gr. Nacionalistas Vascos,31.0
2020,Gr. EH Bildu,21.0
2020,Gr. Socialistas Vascos,10.0
2020,Gr. Elkarrekin Podemos,6.0
2020,Gr. Vasco Popular  Ciudadanos,6.0
2020,Gr. Mixto,1.0
2024,Gr. Nacionalistas Vascos,27.0
2024,Gr. EH Bildu,27.0
2024,Gr. Socialistas Vascos,12.0
2024,Gr. Popular Vasco,7.0
2024,Gr. Mixto,2.0
