province,province_std,year,total_population
Araba/Alava,Araba,2010,23629
Araba/Alava,Araba,2015,22168
Araba/Alava,Araba,2016,22244
Araba/Alava,Araba,2018,22502
Araba/Alava,Araba,2019,24334
Araba/Alava,Araba,2020,26170
Araba/Alava,Araba,2021,25912
Araba/Alava,Araba,2022,27212
Araba/Alava,Araba,2023,28468
Araba/Alava,Araba,2024,31298
Bizkaia,Bizkaia,2010,60349
Bizkaia,Bizkaia,2015,58835
Bizkaia,Bizkaia,2016,60478
Bizkaia,Bizkaia,2018,61862
Bizkaia,Bizkaia,2019,68429
Bizkaia,Bizkaia,2020,77482
Bizkaia,Bizkaia,2021,76542
Bizkaia,Bizkaia,2022,78364
Bizkaia,Bizkaia,2023,83503
Bizkaia,Bizkaia,2024,92956
Gipuzkoa,Gipuzkoa,2010,36327
Gipuzkoa,Gipuzkoa,2015,40511
Gipuzkoa,Gipuzkoa,2016,41856
Gipuzkoa,Gipuzkoa,2018,42655
Gipuzkoa,Gipuzkoa,2019,46501
Gipuzkoa,Gipuzkoa,2020,51095
Gipuzkoa,Gipuzkoa,2021,50874
Gipuzkoa,Gipuzkoa,2022,52062
Gipuzkoa,Gipuzkoa,2023,54715
Gipuzkoa,Gipuzkoa,2024,59870
Basque Country,Pais Vasco,2010,120305
Basque Country,Pais Vasco,2015,121514
Basque Country,Pais Vasco,2016,124578
Basque Country,Pais Vasco,2018,127019
Basque Country,Pais Vasco,2019,139264
Basque Country,Pais Vasco,2020,154747
Basque Country,Pais Vasco,2021,153328
Basque Country,Pais Vasco,2022,157638
Basque Country,Pais Vasco,2023,166686
Basque Country,Pais Vasco,2024,184124
