province,year,avg_price_per_m2
Bizkaia,2012,2867.54
Bizkaia,2013,2521.08
Bizkaia,2014,2309.13
Bizkaia,2015,2332.5
Bizkaia,2016,2373.05
Bizkaia,2017,2334.42
Bizkaia,2018,2418.94
Bizkaia,2019,2545.31
Bizkaia,2020,2733.78
Bizkaia,2021,2751.71
Bizkaia,2022,2778.29
Bizkaia,2023,2805.86
Bizkaia,2024,2890.67
Bizkaia,2025,3094.02
Gipuzkoa,2012,2900.73
Gipuzkoa,2013,2866.71
Gipuzkoa,2014,2685.0
Gipuzkoa,2015,2555.62
Gipuzkoa,2016,2742.56
Gipuzkoa,2017,2810.94
Gipuzkoa,2018,2881.68
Gipuzkoa,2019,2977.97
Gipuzkoa,2020,3205.69
Gipuzkoa,2021,3247.28
Gipuzkoa,2022,3309.78
Gipuzkoa,2023,3427.76
Gipuzkoa,2024,3566.68
Gipuzkoa,2025,3763.74
