year,province_std,avg_price_per_m2,foreign_population,total_population,foreign_population_pct
2015,Bizkaia,2332.5,58835,1134756,5.18
2015,Gipuzkoa,2555.62,40511,707153,5.73
2016,Bizkaia,2373.05,60478,1134144,5.33
2016,Gipuzkoa,2742.56,41856,708249,5.91
2018,Bizkaia,2418.94,61862,1135052,5.45
2018,Gipuzkoa,2881.68,42655,710796,6.0
2019,Bizkaia,2545.31,68429,1138930,6.01
2019,Gipuzkoa,2977.97,46501,714415,6.51
2020,Bizkaia,2733.78,77482,1142318,6.78
2020,Gipuzkoa,3205.69,51095,716897,7.13
2021,Bizkaia,2751.71,76542,1134830,6.74
2021,Gipuzkoa,3247.28,50874,713787,7.13
2022,Bizkaia,2778.29,78364,1135269,6.9
2022,Gipuzkoa,3309.78,52062,714907,7.28
